place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUREMXNfdnFRRRAB,5,Great club,4 months ago,2024-05-04 12:30:26.703702,,,,0,114,12,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUNEXy1PRk53EAE,5,"Absolutely stunning room! Excellent sound system, wonderful staff!",5 months ago,2024-04-04 12:30:26.712907,,,,0,25,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUNEdVlUcXNRRRAB,1,,5 months ago,2024-04-04 12:30:26.723145,,,,0,,,,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUNEd1BxaF9nRRAB,5,,5 months ago,2024-04-04 12:30:26.730569,,,,0,,,,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUQ5MDZYT0dBEAE,4,,5 months ago,2024-04-04 12:30:27.277614,,,,0,4,2,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUM5eThDYkRnEAE,5,,5 months ago,2024-04-04 12:30:27.283511,,,,0,2,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUM5bks2VHR3RRAB,5,"I live in SoMa and I ve been coming here for years. Absolutely love this spot! There are three levels (the third is VIP) and it s so fun. Friday nights are my favorite. They usually feature a popular DJ (last time I saw Austin Millz) When I m with friends that want a more chill experience and sit down, we get VIP so you re up on the highest level looking over the stage. It s so cool with sofas and lounges. Definitely a fun spot to go to!",6 months ago,2024-03-04 12:30:27.290082,,,,0,107,711,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUM5N1BUb1BnEAE,5,This review is solely based on the security team from 3/1/2024  long story short I was an unprepared idiot at the door and they still accommodated me when they could ve just told me to leave.. you can tell they re providing a safe clubbing space!! The club could update their sound system though,6 months ago,2024-03-04 12:30:27.297908,,,,0,2,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUM5cEliZWxBRRAB,1,,6 months ago,2024-03-04 12:30:27.305129,,,,0,,,,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUM5cElxSjJRRRAB,1,,6 months ago,2024-03-04 12:30:27.311478,,,,0,,,,,
